	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-mir-5134 MI0018046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-7036a MI0022885	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-mir-219a-1 MI0000702	3	6	3	3	4	0	0	1	2	2	3	1	2	7	1
mmu-mir-203b MI0040622	0	1	0	1	0	0	2	1	1	0	5	2	2	1	12
mmu-mir-150 MI0000172	33	35	28	20	36	8	4	10	7	4	43	23	55	58	151
mmu-mir-8092 MI0026019	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-mir-134 MI0000160	26	15	21	13	24	13	18	31	8	23	30	17	23	25	33
mmu-mir-383 MI0000800	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0
mmu-mir-881 MI0005474	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-212 MI0000696	17	12	14	10	11	2	9	9	8	6	15	14	8	13	6
mmu-let-7b MI0000558	3186	3198	2486	2262	3212	1339	1967	1930	1766	1588	4034	2374	3273	3599	4379
mmu-mir-3071 MI0014034	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
mmu-mir-466n MI0014079	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-6366 MI0021895	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-1231 MI0019183	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
mmu-mir-5125 MI0018036	0	0	0	1	2	0	0	0	0	0	4	0	0	1	1
mmu-mir-6953 MI0022800	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-mir-490 MI0005002	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
mmu-mir-7667 MI0025007	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0
mmu-mir-7012 MI0022861	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-mir-199b MI0000714	1797	1811	1512	1620	1729	160	232	866	341	197	3501	1456	3133	2158	3372
mmu-mir-12201 MI0040647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-497a MI0004636	0	7	3	6	6	0	0	3	0	1	6	0	4	6	10
mmu-mir-133a-1 MI0000159	4361	8850	8256	6390	7686	335	321	1660	490	438	11840	3025	10537	10945	10638
mmu-mir-98 MI0000586	218	278	250	208	178	50	67	177	146	92	401	212	365	274	438
mmu-mir-3062 MI0014024	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
mmu-mir-672 MI0004258	0	2	5	1	4	1	5	1	3	2	3	1	0	5	8
mmu-mir-12189 MI0040631	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
mmu-mir-200c MI0000694	5	4	2	2	6	1	5	10	2	2	3	4	3	7	25
mmu-mir-677 MI0004634	184	329	236	278	462	86	97	139	115	148	379	88	283	424	276
