	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
 ENSMUSG00000064791	77	89	81	65	113	63	57	102	43	76	90	33	80	74	74
 ENSMUSG00000064792	6	2	2	15	17	5	0	5	1	5	4	2	3	2	2
 ENSMUSG00000064671	2	1	0	2	1	2	0	1	0	1	0	2	1	0	0
 ENSMUSG00000065883	3	9	7	28	14	2	9	8	5	7	5	4	5	5	9
 ENSMUSG00000064672	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
 ENSMUSG00000065640	373	1017	825	664	718	118	123	308	68	175	1377	338	806	1042	1194
 ENSMUSG00000077745	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000087793	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
 ENSMUSG00000094382_> ENSMUSG00000094251	102	69	50	113	158	146	172	203	163	279	85	106	92	83	95
 ENSMUSG00000087790	16758	17773	12717	10669	19648	15613	16193	27719	10441	16908	25063	12882	13222	15700	19622
 ENSMUSG00000077625	162	463	304	305	618	52	62	154	69	99	574	123	376	623	523
 ENSMUSG00000077505	16	19	9	13	18	8	4	17	7	14	15	5	7	12	17
 ENSMUSG00000077506	99	91	79	63	88	32	40	60	32	46	119	57	84	76	100
 ENSMUSG00000089617	186	155	115	173	234	245	262	283	224	348	144	145	214	123	189
 ENSMUSG00000088524	316155	147224	103912	89286	158518	466735	401757	501498	288362	458586	201477	228583	129728	127890	180530
 ENSMUSG00000094099_> ENSMUSG00000094093	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000065642	2	11	4	11	14	5	6	11	2	4	10	4	5	5	5
 ENSMUSG00000096263	166	243	204	268	257	132	150	237	146	243	252	110	241	215	238
 ENSMUSG00000065884	0	0	0	0	3	0	0	1	0	3	0	0	0	0	0
 ENSMUSG00000064797	13471	13338	9463	7543	15547	7025	5636	17720	7659	12175	17863	8680	12061	11696	17630
 ENSMUSG00000064558	3	1	1	5	3	5	6	3	3	7	0	2	0	4	1
 ENSMUSG00000064437	180	246	229	160	265	141	207	231	379	378	207	252	261	203	325
 ENSMUSG00000065649	10	16	11	51	34	23	37	44	35	16	12	7	14	19	17
 ENSMUSG00000077519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000106147	1521	1060	726	2084	3390	5058	4906	5559	4820	7381	1210	1520	1177	1121	856
 ENSMUSG00000096019	8	2	5	4	9	4	6	3	10	9	5	9	10	4	2
 ENSMUSG00000064440	120685	97293	73630	56308	110272	54890	51864	99380	50187	73750	135137	83130	92923	85225	150235
 ENSMUSG00000064441	56	110	90	64	136	24	22	65	50	56	141	55	126	183	173
 ENSMUSG00000064563	73	86	59	75	101	60	63	63	49	82	82	51	89	76	100
 ENSMUSG00000064442	0	0	0	1	1	0	0	2	0	2	0	0	0	0	0
 ENSMUSG00000088510	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000077756	6100	7932	5547	4872	8963	4461	4061	9107	3444	5581	12323	4796	6206	7284	8987
 ENSMUSG00000077515	36440	28117	21193	18608	24437	28986	27968	48268	20090	31822	37354	27656	22950	24511	28485
 ENSMUSG00000077758	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000077637	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
 ENSMUSG00000077759	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000088518	3	3	1	2	2	0	2	1	0	2	0	1	0	2	1
 ENSMUSG00000088634	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
 ENSMUSG00000088877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000077630	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
 ENSMUSG00000088996	0	1	1	0	0	0	0	1	0	0	0	1	0	3	2
 ENSMUSG00000094038_> ENSMUSG00000095418_> ENSMUSG00000096799	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
 ENSMUSG00000065653	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0
 ENSMUSG00000064567	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 ENSMUSG00000094034_> ENSMUSG00000095425	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
 ENSMUSG00000096496	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
