	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-103-3p MIMAT0000546	1614	2034	1612	1274	1159	249	292	719	366	297	2573	1207	2549	1871	3244
mmu-miR-15b-3p MIMAT0004521	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-145a-3p MIMAT0004534	375	356	367	338	306	103	97	223	100	87	495	361	611	637	527
mmu-miR-140-5p MIMAT0000151	8	15	9	7	14	1	0	4	1	2	21	5	25	23	21
mmu-miR-3072-5p MIMAT0014852	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
mmu-miR-17-5p MIMAT0000649	166	441	362	246	311	24	6	60	22	21	573	130	450	477	611
mmu-miR-190b-3p MIMAT0017267	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-24-2-5p MIMAT0005440	326	603	476	461	783	84	51	239	163	126	1007	301	665	663	713
mmu-miR-134-3p MIMAT0016985	2	1	0	0	1	0	2	6	0	0	1	3	2	6	2
mmu-miR-99b-5p MIMAT0000132	364	328	294	208	335	155	159	299	241	183	510	279	464	387	474
mmu-miR-3102-3p.2-3p MIMAT0014935	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1
mmu-miR-342-5p MIMAT0004653	4	3	1	0	2	3	10	5	4	0	2	3	3	3	8
mmu-miR-128-2-5p MIMAT0017069	2	3	1	1	0	1	4	3	2	2	1	0	1	1	2
mmu-miR-7059-5p MIMAT0028022	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
mmu-miR-185-3p MIMAT0016996	10	8	4	4	11	4	5	5	7	5	5	12	9	1	3
mmu-miR-3078-5p MIMAT0014864	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
mmu-miR-6950-5p MIMAT0027800	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-3084-3p MIMAT0014877	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
mmu-miR-340-3p MIMAT0000586	57	89	56	48	65	25	24	78	58	65	87	56	67	64	115
mmu-miR-3081-3p MIMAT0014871	15	5	7	6	8	7	3	10	11	15	15	10	11	7	5
mmu-miR-99b-3p MIMAT0004525	43	44	25	34	39	37	15	45	37	30	51	58	55	50	51
mmu-miR-770-3p MIMAT0003891	29	5	16	6	16	117	106	90	147	134	22	28	18	18	17
mmu-miR-9768-5p MIMAT0036459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-330-5p MIMAT0004642	0	0	0	1	1	0	1	1	1	2	0	0	0	1	0
mmu-miR-346-5p MIMAT0000597	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1
mmu-miR-32-5p MIMAT0000654	24	61	40	56	34	0	0	7	10	2	97	15	58	39	83
mmu-miR-152-5p MIMAT0016991	66	37	30	41	51	6	7	42	10	16	74	39	61	35	67
mmu-miR-145a-5p MIMAT0000157	2570	1884	1265	1252	3203	163	161	532	134	201	2592	1240	3224	2843	2683
mmu-miR-190a-3p MIMAT0016998	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1
mmu-miR-320-3p MIMAT0000666	264	229	167	140	130	276	344	283	257	276	364	224	247	293	324
mmu-miR-149-3p MIMAT0016990	1	0	0	0	0	0	0	1	0	4	0	0	2	0	0
mmu-miR-155-3p MIMAT0016993	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3
mmu-miR-6962-3p MIMAT0027825	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-7074-3p MIMAT0028055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-147-3p MIMAT0004857	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-155-5p MIMAT0000165	38	43	22	35	31	11	20	24	11	12	47	34	45	45	123
mmu-miR-505-5p MIMAT0017259	0	0	0	0	0	2	1	0	1	0	1	0	1	0	2
mmu-miR-7043-5p MIMAT0027990	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-3057-3p MIMAT0014823	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1
mmu-miR-673-5p MIMAT0003739	67	59	60	30	27	147	220	220	258	257	113	49	78	76	85
mmu-miR-3474 MIMAT0015646	0	0	1	0	1	2	0	1	1	1	1	1	0	0	0
mmu-miR-378a-5p MIMAT0000742	710	1031	837	825	1122	135	87	402	110	114	1583	568	1353	1651	1231
mmu-miR-27b-3p MIMAT0000126	12372	11420	8375	7413	10109	1124	1614	5005	2249	1962	15563	9787	16464	11692	17685
mmu-miR-188-3p MIMAT0004541	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0
mmu-miR-701-5p MIMAT0003491	0	3	2	4	4	0	0	0	0	0	3	3	4	8	5
mmu-miR-101b-5p MIMAT0017046	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
mmu-miR-7219-5p MIMAT0028406	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-122-3p MIMAT0017005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-361-5p MIMAT0000704	66	151	147	92	120	17	19	49	25	14	225	75	227	252	204
mmu-miR-496a-3p MIMAT0003738	18	29	11	20	21	0	1	3	2	3	41	6	34	32	34
mmu-miR-483-3p MIMAT0003120	1	0	0	1	0	5	0	2	0	1	0	0	0	0	0
mmu-miR-872-3p MIMAT0004935	17	16	24	28	29	2	1	2	1	2	33	9	31	25	31
mmu-miR-203b-3p MIMAT0049832	0	1	0	1	0	0	3	1	1	0	5	2	2	2	13
mmu-miR-7040-5p MIMAT0027984	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-3112-5p MIMAT0014955	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-23b-3p MIMAT0000125	18	13	14	8	17	1	4	4	5	4	32	15	20	15	14
mmu-miR-331-3p MIMAT0000571	1	0	1	0	2	0	0	0	0	0	0	0	3	0	1
mmu-miR-193b-5p MIMAT0017271	3	1	2	1	1	6	8	8	0	3	4	3	3	3	4
mmu-miR-3109-5p MIMAT0014949	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
mmu-miR-30d-3p MIMAT0017011	10	14	11	17	27	3	4	10	4	3	20	14	24	31	14
mmu-miR-542-5p MIMAT0003171	2	5	6	1	10	2	5	5	2	2	11	3	8	10	13
mmu-miR-409-3p MIMAT0001090	127	80	86	74	60	96	118	164	149	170	140	124	96	114	115
mmu-miR-337-3p MIMAT0000578	14	12	8	13	40	1	0	8	2	3	18	12	35	23	15
mmu-miR-3060-3p MIMAT0014827	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-133b-5p MIMAT0017083	0	2	0	0	3	0	0	0	0	0	1	1	0	0	0
mmu-miR-93-3p MIMAT0004636	1	3	2	2	6	0	1	3	1	0	4	1	6	4	8
mmu-miR-412-3p MIMAT0001094	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-6516-5p MIMAT0027343	0	1	0	0	0	0	0	0	1	0	2	1	2	0	0
mmu-miR-7013-3p MIMAT0027931	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
mmu-miR-676-3p MIMAT0003782	108	100	114	66	112	72	94	134	148	84	130	97	159	114	181
mmu-miR-7007-5p MIMAT0027918	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
mmu-miR-3535 MIMAT0031410	97	52	53	18	40	30	28	52	99	95	57	53	32	23	71
mmu-miR-363-3p MIMAT0000708	1	2	0	5	3	0	0	1	1	0	2	2	0	2	4
mmu-miR-489-3p MIMAT0003112	1	7	4	1	1	0	0	1	1	0	8	1	3	2	7
mmu-miR-301a-5p MIMAT0017008	10	13	11	14	10	3	3	5	2	3	18	10	13	14	28
mmu-miR-325-5p MIMAT0000558	1	1	0	0	0	0	0	1	0	0	3	0	0	3	2
mmu-miR-369-5p MIMAT0003185	99	208	171	120	138	52	51	158	57	46	299	84	202	190	219
mmu-miR-499-5p MIMAT0003482	148	350	297	290	198	30	54	109	127	84	578	136	417	506	357
mmu-miR-411-5p MIMAT0004747	5875	9780	6961	6111	8315	1789	1549	8261	3801	3358	15337	6294	11364	11031	12343
mmu-miR-425-3p MIMAT0001342	0	2	1	0	0	0	0	0	0	2	1	0	0	0	1
mmu-miR-344f-3p MIMAT0014932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1947-5p MIMAT0009413	2	3	0	0	2	3	4	3	3	2	0	3	1	0	3
mmu-miR-3473e MIMAT0025587	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
mmu-miR-5121 MIMAT0020629	0	0	1	8	8	0	0	0	0	0	2	0	0	4	2
mmu-miR-1197-3p MIMAT0005858	4	16	18	23	20	0	2	2	0	3	32	5	26	43	26
mmu-miR-17-3p MIMAT0000650	9	21	4	8	15	0	3	2	1	1	17	1	15	20	30
mmu-miR-7225-3p MIMAT0028419	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-27a-3p MIMAT0000537	2617	4731	3477	3279	4761	647	578	1944	1271	1093	7462	2333	5062	5109	5122
mmu-miR-322-5p MIMAT0000548	1	3	2	0	3	0	0	0	0	0	2	0	3	4	5
mmu-miR-7012-3p MIMAT0027929	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-328-3p MIMAT0000565	211	226	182	157	140	149	125	331	201	192	336	217	242	263	169
mmu-miR-1941-5p MIMAT0009405	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-6540-5p MIMAT0025585	4	1	0	0	0	2	0	1	2	1	3	0	0	0	1
mmu-miR-216b-5p MIMAT0003729	1	2	3	0	1	0	2	0	0	1	0	0	0	3	1
mmu-miR-7a-1-3p MIMAT0004670	8	15	8	14	10	2	1	2	1	0	18	4	20	18	9
mmu-miR-139-3p MIMAT0004662	7	3	3	6	5	9	12	10	9	9	10	3	6	14	6
mmu-miR-200a-3p MIMAT0000519	4	1	4	2	4	0	0	3	2	0	2	0	1	2	17
mmu-miR-23a-5p MIMAT0017019	0	0	5	1	0	0	0	1	3	0	0	0	2	2	0
mmu-miR-3472 MIMAT0015643	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-369-3p MIMAT0003186	301	629	635	544	351	19	14	154	36	30	1042	334	1165	1161	1002
mmu-miR-98-3p MIMAT0017023	0	0	2	0	3	0	0	0	1	0	4	0	1	2	0
mmu-miR-3069-3p MIMAT0014845	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0
mmu-miR-487b-5p MIMAT0017216	0	0	1	0	0	0	0	1	0	0	0	1	2	0	2
mmu-miR-323-5p MIMAT0004638	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0
mmu-miR-370-5p MIMAT0017174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1927 MIMAT0009390	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-1188-5p MIMAT0005843	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0
mmu-miR-712-5p MIMAT0003502	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0
mmu-miR-322-3p MIMAT0000549	875	1062	795	466	490	309	286	684	312	481	1166	716	1011	907	1027
mmu-miR-27b-5p MIMAT0004522	18	9	11	11	8	6	15	22	13	13	20	26	16	15	17
mmu-miR-125a-3p MIMAT0004528	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
mmu-miR-30e-3p MIMAT0000249	626	772	505	430	439	263	207	435	309	252	895	634	806	796	762
mmu-miR-26b-5p MIMAT0000534	1166	1499	1191	1225	956	220	296	613	416	314	2194	1043	2370	1860	2103
mmu-miR-541-3p MIMAT0017209	13	21	26	14	17	0	1	8	6	2	36	13	33	22	30
mmu-miR-6539 MIMAT0025584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-499-3p MIMAT0017254	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
mmu-miR-7225-5p MIMAT0028418	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-296-3p MIMAT0004576	12	14	6	6	6	6	12	16	19	13	19	12	15	15	22
mmu-miR-32-3p MIMAT0017050	1	1	0	0	0	0	1	0	0	1	0	1	1	0	3
mmu-miR-6989-3p MIMAT0027881	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-1955-3p MIMAT0017348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7046-3p MIMAT0027997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-379-5p MIMAT0000743	12933	9813	7632	5609	6840	7715	6206	13577	13451	11048	15490	10937	11002	10207	13197
mmu-miR-15a-3p MIMAT0004624	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-466c-5p MIMAT0004877	2	1	3	1	3	0	3	0	0	0	5	0	2	1	9
mmu-miR-125a-5p MIMAT0000135	1668	2096	1801	1539	1924	783	902	1491	974	1235	2827	1293	2799	2727	2715
mmu-miR-7043-3p MIMAT0027991	2	1	1	1	0	2	1	5	2	0	4	5	1	1	3
mmu-miR-3099-3p MIMAT0014816	8	6	3	4	5	4	6	2	12	7	2	5	3	5	9
mmu-miR-7237-3p MIMAT0028443	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
mmu-miR-378b MIMAT0019348	71	55	44	40	29	4	6	28	5	10	80	38	77	54	42
mmu-miR-30d-5p MIMAT0000515	607	407	260	271	264	270	188	513	317	358	554	536	383	396	447
mmu-miR-423-3p MIMAT0003454	509	462	424	273	338	318	314	490	334	400	662	461	582	482	538
mmu-miR-181b-2-3p MIMAT0017084	0	1	2	0	0	0	0	1	0	0	3	0	5	0	2
mmu-miR-6986-5p MIMAT0027874	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-744-5p MIMAT0004187	1000	789	698	542	578	1283	1507	1478	1336	1626	1118	849	922	989	891
mmu-miR-487b-3p MIMAT0003184	91	211	129	109	155	19	23	67	31	25	236	90	233	206	253
mmu-miR-7b-5p MIMAT0000678	641	292	262	279	205	163	238	502	362	436	557	590	421	391	718
mmu-miR-124b-3p MIMAT0049857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-30e-5p MIMAT0000248	79	134	132	77	104	4	2	21	10	12	204	65	123	146	144
mmu-miR-1968-5p MIMAT0009441	2	2	1	1	2	1	3	2	1	1	5	5	1	7	2
mmu-miR-466f-3p MIMAT0004882	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7037-5p MIMAT0027978	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
mmu-miR-16-1-3p MIMAT0004625	7	1	8	7	24	0	1	3	4	2	9	4	9	9	8
mmu-miR-7031-5p MIMAT0027966	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-miR-6952-3p MIMAT0027805	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
mmu-miR-7231-5p MIMAT0028430	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-148b-5p MIMAT0017036	15	25	14	15	28	0	1	7	5	2	32	9	20	17	29
mmu-miR-676-5p MIMAT0003781	92	80	52	35	64	56	23	142	63	54	116	64	81	85	91
mmu-miR-18a-3p MIMAT0004626	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
mmu-miR-6516-3p MIMAT0027344	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
mmu-miR-873a-3p MIMAT0017279	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-342-3p MIMAT0000590	1	1	1	2	0	0	0	0	0	0	0	1	0	1	1
mmu-miR-7092-5p MIMAT0028090	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7027-3p MIMAT0027959	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669f-3p MIMAT0005839	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4
mmu-miR-467b-5p MIMAT0005448	1	4	2	0	3	0	0	0	1	0	1	1	1	5	8
mmu-miR-543-5p MIMAT0017207	0	0	0	0	0	0	0	1	1	2	0	0	3	0	0
mmu-miR-7063-5p MIMAT0028030	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0
mmu-miR-302b-3p MIMAT0003374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-183-5p MIMAT0000212	11	6	4	7	14	13	21	18	37	22	15	5	25	12	52
mmu-let-7j MIMAT0025123	2416	1625	1418	1207	1244	655	809	1865	1455	1016	2436	1972	2174	1615	2542
mmu-miR-5709-3p MIMAT0027104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-29a-5p MIMAT0004631	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-3103-3p MIMAT0014938	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
mmu-miR-1195 MIMAT0005856	0	0	0	1	4	1	0	2	0	0	1	0	0	2	1
mmu-miR-19b-1-5p MIMAT0017065	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
mmu-miR-6964-3p MIMAT0027829	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0
mmu-miR-99a-3p MIMAT0016981	0	0	0	1	3	0	0	0	0	0	2	0	1	0	0
mmu-miR-190b-5p MIMAT0004852	0	5	4	4	3	0	0	1	0	1	4	4	5	3	1
mmu-miR-144-5p MIMAT0016988	31	38	31	51	46	0	1	12	3	5	83	13	27	42	65
mmu-miR-7226-3p MIMAT0028421	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-7036a-5p MIMAT0027976	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-1932 MIMAT0009395	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
