	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-3072-5p MIMAT0014852	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
mmu-miR-17-5p MIMAT0000649	144	399	320	221	281	20	5	53	17	19	538	115	397	447	571
mmu-miR-190b-3p MIMAT0017267	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-24-2-5p MIMAT0005440	275	540	423	420	704	70	45	207	136	115	898	268	580	576	635
mmu-miR-134-3p MIMAT0016985	1	1	0	0	1	0	2	6	0	0	1	2	1	6	2
mmu-miR-99b-5p MIMAT0000132	335	291	265	189	303	138	143	270	218	163	475	252	426	364	432
mmu-miR-3102-3p.2-3p MIMAT0014935	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1
mmu-miR-342-5p MIMAT0004653	3	3	1	0	2	2	8	4	3	0	1	3	2	3	7
mmu-miR-128-2-5p MIMAT0017069	2	2	1	0	0	1	4	2	2	1	0	0	1	1	2
mmu-miR-7059-5p MIMAT0028022	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
mmu-miR-185-3p MIMAT0016996	7	8	4	4	10	4	2	4	7	4	3	9	6	1	3
mmu-miR-3078-5p MIMAT0014864	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
mmu-miR-3084-3p MIMAT0014877	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
mmu-miR-340-3p MIMAT0000586	44	80	51	42	60	22	22	66	51	56	80	46	59	60	107
mmu-miR-3081-3p MIMAT0014871	12	4	4	4	4	5	2	6	11	8	10	7	9	4	4
mmu-miR-99b-3p MIMAT0004525	36	35	22	28	35	32	12	41	29	25	44	44	50	40	47
mmu-miR-770-3p MIMAT0003891	18	4	9	2	5	82	67	56	88	89	13	15	8	10	12
mmu-miR-9768-5p MIMAT0036459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-330-5p MIMAT0004642	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0
mmu-miR-346-5p MIMAT0000597	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
mmu-miR-32-5p MIMAT0000654	21	58	36	51	31	0	0	7	9	2	91	13	57	35	77
